date,venue,race_no,race_name,detail,horse_no,horse_name,win_odds,implied_prob,fetched_at_jst,race_status
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,1,サルヴァトーレ,3.5,28.6,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,2,ベラトール,83.5,1.2,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,3,コルデアニル,36.4,2.7,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,4,ワキノノーブル,182.5,0.5,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,5,モナコブル,79.8,1.3,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,6,ボールドハーテッド,153.6,0.7,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,7,ブラックシールド,10.6,9.4,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,8,ナスノソナタ,219.6,0.5,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,9,アウスヴァール,4.9,20.4,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,10,コスモアミマネラ,4.1,24.4,2026-06-06 12:39:44+09:00,result
2026-06-06,東京,1,3歳以上障害未勝利,10:05発走 / 障3000m (芝 ダート) / 天候:曇 / 馬場:良 / 馬場:稍,11,シャトーホークビル,318.8,0.3,2026-06-06 12:39:44+09:00,result
